Schlüsselnummer;Kreis/Landkreis;Insgesamt;Männlich;Weiblich
9474;Forchheim;114 834;56 865;57 969
9475;Hof;96 429;47 008;49 421
9476;Kronach;67 916;33 475;34 441
9477;Kulmbach;72 468;35 503;36 965
9478;Lichtenfels;66 655;32 817;33 838
9479;Wunsiedel i.Fichtelgebirge;73 185;35 470;37 715
9561;Ansbach;41 159;19 778;21 381
9562;Erlangen;108 336;53 454;54 882
9563;Fürth;124 171;60 669;63 502
9564;Nürnberg;509 975;247 931;262 044
9565;Schwabach;40 428;19 710;20 718
9571;Ansbach;181 314;90 933;90 381
9572;Erlangen-Höchstadt;134 136;66 722;67 414
9573;Fürth;114 291;55 381;58 910
9574;Nürnberger Land;167 643;82 530;85 113
9575;Neustadt a.d.Aisch-Bad Windsheim;98 751;49 217;49 534
9576;Roth;125 140;62 231;62 909
9577;Weißenburg-Gunzenhausen;93 342;46 525;46 817
9661;Aschaffenburg;68 986;33 288;35 698
9662;Schweinfurt;51 969;25 160;26 809
9663;Würzburg;124 873;59 159;65 714
9671;Aschaffenburg;173 695;86 543;87 152
9672;Bad Kissingen;103 106;50 623;52 483
9673;Rhön-Grabfeld;79 723;39 540;40 183
9674;Haßberge;84 581;42 412;42 169
9675;Kitzingen;89 306;44 796;44 510
9676;Miltenberg;128 446;64 062;64 384
9677;Main-Spessart;126 123;62 856;63 267
9678;Schweinfurt;114 813;57 406;57 407
9679;Würzburg;160 427;79 757;80 670
9761;Augsburg;286 374;140 323;146 051
9762;Kaufbeuren;42 731;20 999;21 732
9763;Kempten (Allgäu);66 947;33 106;33 841
9764;Memmingen;42 841;21 082;21 759
9771;Aichach-Friedberg;130 916;65 241;65 675
9772;Augsburg;245 600;122 030;123 570
9773;Dillingen a.d.Donau;94 575;47 230;47 345
9774;Günzburg;123 153;62 073;61 080
9775;Neu-Ulm;170 309;84 606;85 703
9776;Lindau (Bodensee);80 429;39 550;40 879
9777;Ostallgäu;137 709;68 750;68 959
